time,close,regime_score,regime_label,risk_score,risk_label,raw_base,ceiling,modifier,dd,score_A_roll,score_B_roll,score_C,rank_A_roll,rank_A_exp,r12,risk_C,risk_D,status
2018-11-26,4102.05,-0.8095309717437047,BEARISH,0.11075259596580295,NORMAL,-0.8095309717437047,-0.3,-6.6402185893297455e-21,-0.7666974279289442,-0.7909965477333187,-0.6810245329300562,-0.9971006615387774,0.11611302903704515,0.11611302903704515,-0.6353733333333333,0.22246541237490247,0.018327113354739872,OK
2018-12-03,3529.75,-0.8203429655085928,BEARISH,0.10770994096124324,NORMAL,-0.8203429655085928,-0.3,-5.312174871463797e-21,-0.7989451959248683,-0.8140915765595478,-0.6816481878912649,-0.9980291987576673,0.10328245746691792,0.10328245746691792,-0.7597338506568647,0.22267948089191902,0.01923100808262158,OK
2018-12-10,3193.78,-0.8240741855818461,BEARISH,0.1070513652677511,NORMAL,-0.8240741855818461,-0.3,-4.249739897171038e-21,-0.8178087835318176,-0.8215151859946848,-0.6826180069701915,-0.9984277991727224,0.09915823000295289,0.09915823000295289,-0.8314894739619058,0.22267283755117342,0.021263715757280456,OK
2018-12-17,3943.83,-0.7983015984527921,BEARISH,0.44183419345516634,EXTENDED,-0.7983015984527921,-0.3,-3.399791917736831e-21,-0.7746837286395964,-0.7672534445255724,-0.678987724627433,-0.9973649241122187,0.12930364193023755,0.12930364193023755,-0.721439030023584,0.9927566825129138,0.30957964182570386,OK
2018-12-24,3835.79,-0.7968818299385143,BEARISH,0.33037621173700205,NORMAL,-0.7968818299385143,-0.3,-2.7198335341894646e-21,-0.780526988513232,-0.7649218952951572,-0.6776041520732069,-0.9975429257349261,0.130598947058246,0.130598947058246,-0.7236462536023055,0.6733840843956335,0.30957964182570386,OK
2018-12-31,4040.71,-0.7869886213968883,BEARISH,0.4338142358363637,EXTENDED,-0.7869886213968883,-0.3,-2.175866827351572e-21,-0.7684547301101248,-0.7431192857914586,-0.6776489844679946,-0.9971609898013343,0.14271150789363407,0.14271150789363407,-0.7493981029544741,0.9999998488687336,0.24012761499640553,OK
2019-01-07,3515.95,-0.7984959068983014,BEARISH,0.43037942291481035,EXTENDED,-0.7984959068983014,-0.3,-1.7406934618812577e-21,-0.7982224464173098,-0.7678727184831797,-0.6781672237697594,-0.9980120657997706,0.12895960084267796,0.12895960084267796,-0.7423833106560014,0.9999975854255159,0.24012761499640553,OK
2019-01-14,3536.72,-0.7957755298198309,BEARISH,0.15284766903229124,NORMAL,-0.7957755298198309,-0.3,-1.3925547695050063e-21,-0.7967255610995178,-0.7577410386012025,-0.6843267851888621,-0.9979761075705244,0.13458831188822082,0.13458831188822082,-0.6940254540452484,0.17798578953414756,0.28379664933528714,OK
2019-01-21,3533.23,-0.7949686296942767,BEARISH,0.16597043509028248,NORMAL,-0.7949686296942767,-0.3,-1.114043815604005e-21,-0.7966210819100377,-0.749492140886155,-0.69401257626111,-0.9979735736686958,0.13917103284102497,0.13917103284102497,-0.6976418799922639,0.21232508802320607,0.2836013990416365,OK
2019-01-28,3414.82,-0.7958501116040615,BEARISH,0.15892257420961484,NORMAL,-0.7958501116040615,-0.3,-8.912350524832041e-22,-0.803141681791043,-0.7487520103531305,-0.6979341855103477,-0.9981258051681938,0.13958221647048302,0.13958221647048302,-0.5831009644732023,0.18194191368984156,0.3004642595386818,OK
2019-02-04,3650.37,-0.7850570020205265,BEARISH,0.11735668867930182,NORMAL,-0.7850570020205265,-0.3,-7.129880419865633e-22,-0.7892465117104996,-0.725582697825255,-0.6969938880968273,-0.9977864862804544,0.15245405676374724,0.15245405676374724,-0.5474934920044626,0.09579238530957937,0.22705911265965117,OK
2019-02-11,3625.6,-0.7825033212227335,BEARISH,0.3674248275370617,NORMAL,-0.7825033212227335,-0.3,-5.703904335892507e-22,-0.7903621466485534,-0.7198960794488123,-0.696987069747095,-0.9978158581865576,0.1556132891951043,0.1556132891951043,-0.6520891348864704,0.6961161168466478,0.4235027289934212,OK
2019-02-18,3730.68,-0.776337297437236,BEARISH,0.39006857778093773,NORMAL,-0.776337297437236,-0.3,-4.563123468714006e-22,-0.7839622002671994,-0.705763708259235,-0.6977771629558158,-0.9976419193353423,0.16346460652264724,0.16346460652264724,-0.6109838957918841,0.7863480276820631,0.36879599988787826,OK
2019-02-25,3789.52,-0.7725198486945133,BEARISH,0.5062895354143193,EXTENDED,-0.7725198486945133,-0.3,-3.6504987749712047e-22,-0.7802252064009998,-0.6950940744272318,-0.7011466893632523,-0.997534033573133,0.16939218087376007,0.16939218087376007,-0.6694206801375175,0.9918816365895382,0.5830877727487227,OK
2019-03-04,3897.92,-0.7656259431494126,BEARISH,0.2638323893030432,NORMAL,-0.7656259431494126,-0.3,-2.920399019976964e-22,-0.7735989015227609,-0.6812389366832604,-0.6991193314632085,-0.9973304888119314,0.17708947962041088,0.17708947962041088,-0.5912004564217874,0.3325695533897302,0.5145813280412341,OK
2019-03-11,3965.5,-0.7604734770528724,BEARISH,0.32664433753253125,NORMAL,-0.7604734770528724,-0.3,-2.3363192159815713e-22,-0.7693276749097941,-0.6705724424625383,-0.6980608506070867,-0.9971904910504166,0.18301530974303426,0.18301530974303426,-0.5157078932713257,0.5345693334974764,0.4671747577326553,OK
2019-03-18,3969.99,-0.7578352232599408,BEARISH,0.14120901370241246,NORMAL,-0.7578352232599408,-0.3,-1.8690553727852572e-22,-0.7687195718846543,-0.6647163080582577,-0.6980679715730969,-0.9971699726471832,0.18626871774541243,0.18626871774541243,-0.5303954387915637,0.2499751686529142,0.03409709621436337,OK
2019-03-25,4096.08,-0.7509461862503614,BEARISH,0.10556687420555878,NORMAL,-0.7509461862503614,-0.3,-1.495244298228206e-22,-0.7610154470356753,-0.6501760357697283,-0.6971426394996031,-0.9968967132164107,0.1943466467945954,0.1943466467945954,-0.3988305604151746,0.14265416344641405,0.032065047388751655,OK
2019-04-01,5190.85,-0.7082562119782958,BEARISH,0.4751816578490281,EXTENDED,-0.7082562119782958,-0.3,-1.1961954385825647e-22,-0.6966864510465467,-0.5605012938818161,-0.6923448264190757,-0.9933087272230231,0.24416594784343545,0.24416594784343545,-0.2613266052487029,0.9859794389497545,0.338910157143249,OK
2019-04-08,5162.72,-0.7064556723020313,BEARISH,0.48194560842162215,EXTENDED,-0.7064556723020313,-0.3,-9.569563508660518e-23,-0.6978769684231554,-0.5603939002394689,-0.6864255453065342,-0.9934030144092402,0.24422561097807285,0.24422561097807285,-0.3820224988089851,0.9562004859548154,0.42762513592743523,OK
2019-04-15,5295.65,-0.698893452996175,BEARISH,0.485560824282999,EXTENDED,-0.698893452996175,-0.3,-7.655650806928415e-23,-0.6896323364067399,-0.5472170825628451,-0.6815509254536598,-0.9927219528271872,0.2515460652428638,0.2515460652428638,-0.39753423223768936,0.9876421237986847,0.3817859091708306,OK
2019-04-22,5160.98,-0.7018872967042736,BEARISH,0.45789330314663185,EXTENDED,-0.7018872967042736,-0.3,-6.124520645542732e-23,-0.6970706870968897,-0.5562621445140461,-0.6774483526445243,-0.9933393035183823,0.24652103082552998,0.24652103082552998,-0.4506083144648866,0.927257307479168,0.3561498066812361,OK
2019-04-29,5709.32,-0.6779977977611039,BEARISH,0.13433143306791318,NORMAL,-0.6779977977611039,-0.3,-4.899616516434186e-23,-0.6643818494572993,-0.508555045472658,-0.6720172524962015,-0.9901714061981896,0.2730249747374122,0.2730249747374122,-0.4067339045714987,0.004445539772808783,0.31952829159761376,OK
2019-05-06,6974.35,-0.6220935518645665,BEARISH,0.337655161639044,NORMAL,-0.6220935518645665,-0.3,-3.919693213147349e-23,-0.5894021003485279,-0.39864665300380875,-0.6621976009046627,-0.9761731109658148,0.3340851927756618,0.3340851927756618,-0.1980353196313953,0.418569094339606,0.5295119748217479,OK
2019-05-13,8200.0,-0.5617107869845726,BEARISH,0.533401189821038,EXTENDED,-0.5617107869845726,-0.3,-3.135754570517879e-23,-0.5165197160711177,-0.29341765779650353,-0.6449866180019531,-0.9447074223022401,0.39254574566860917,0.39254574566860917,-0.037386951662737866,0.9225538688528054,0.5427198539159925,OK
2019-05-20,8733.26,-0.5293585391772708,BEARISH,0.5735117915478831,EXTENDED,-0.5293585391772708,-0.3,-2.5086036564143036e-23,-0.4843046246901145,-0.2522831048753498,-0.6188684484447882,-0.9206824297997076,0.41539827506925014,0.41539827506925014,0.18862072109960137,0.997812280424779,0.5451869797064238,OK
2019-05-27,8734.49,-0.5245796093957853,BEARISH,0.5700627857631438,EXTENDED,-0.5245796093957853,-0.3,-2.006882925131443e-23,-0.4834571794702469,-0.25875068554838665,-0.5938588228374053,-0.9199366161911587,0.4118051746953407,0.4118051746953407,0.1338089507987752,0.9990869048064752,0.5432556731940906,OK
2019-06-03,7632.99,-0.5744036962368324,BEARISH,0.21772204424701855,NORMAL,-0.5744036962368324,-0.3,-1.6055063401051545e-23,-0.5479198879955609,-0.36182877322600326,-0.57077224193796,-0.9613963028149717,0.3545395704299982,0.3545395704299982,0.12561549113206127,0.0031105591352705527,0.597780305021355,OK
2019-06-10,8974.19,-0.49991467208195567,BEARISH,0.2545412063230956,NORMAL,-0.49991467208195567,-0.3,-1.2844050720841237e-23,-0.4676859865319345,-0.2478515256316688,-0.540569222569642,-0.9048428751072486,0.4178602635379618,0.4178602635379618,0.3906120950009375,0.00016660937715056373,0.6078651127687728,OK
2019-06-17,10831.95,-0.37489936764264165,BEARISH,0.3404688731793988,NORMAL,-0.37489936764264165,0.07677740285659718,-1.0275240576672991e-23,-0.35652568428577724,-0.09859368619147202,-0.5061929738995635,-0.7146972667464406,0.5007812854491822,0.5007812854491822,0.760319498163617,0.0001346033057643302,0.5632356916686733,OK
2019-06-24,10760.1,-0.3741658707106994,BEARISH,0.3182480254850131,NORMAL,-0.3741658707106994,0.04810793754942344,-8.220192461338394e-24,-0.35983369951352806,-0.11566080730132045,-0.4714599633039078,-0.7227220737357315,0.4912995514992664,0.4912995514992664,0.6945066055222135,0.0013816997868767486,0.5436228228124719,OK
2019-07-01,11469.96,-0.3137775777250894,BEARISH,0.6135239182559232,EXTENDED,-0.3137775777250894,0.42300948698857743,-6.5761539690707154e-24,-0.3165758284243949,-0.0697486280441495,-0.4346362662673716,-0.6079992609000427,0.5168063177532503,0.5168063177532503,0.7102496048668474,0.998736976823843,0.22334705607968333,OK
2019-07-08,10191.87,-0.4023018112346507,BEARISH,0.36410817398484463,NORMAL,-0.4023018112346507,-0.22908113515925588,-5.260923175256573e-24,-0.3918170540568372,-0.18644147693894297,-0.40068835653331325,-0.7927865586085295,0.4519769572561428,0.4519769572561428,0.6051958483612367,0.40326538140987495,0.22334705607968333,OK
2019-07-15,10600.24,-0.36685078902421997,BEARISH,0.207687912681771,NORMAL,-0.36685078902421997,-0.009649318678800478,-4.208738540205259e-24,-0.36649799830909235,-0.16154134368584339,-0.3651412135134894,-0.7384592812461745,0.4658103646189759,0.4658103646189759,0.4331233269339967,0.027078673519390944,0.2386133428574115,OK
2019-07-22,9533.19,-0.43271003701733923,BEARISH,0.20414690886986409,NORMAL,-0.43271003701733923,-0.3,-3.3669908321642074e-24,-0.4294122115397513,-0.2619634014799087,-0.3350148953827278,-0.8572881509462478,0.4100203325111618,0.4100203325111618,0.16021560862337147,0.12762370696783945,0.2350801538925752,OK
2019-07-29,10986.96,-0.3242581046499724,BEARISH,0.227564679072305,NORMAL,-0.3242581046499724,0.2077611547258692,-2.6935926657313662e-24,-0.3414121744547074,-0.14671746771569794,-0.2971777386618454,-0.676327690317419,0.4740458512690567,0.4740458512690567,0.5622876855107848,0.009990744442950672,0.24659128870346522,OK
2019-08-05,11528.73,-0.2742243931699421,NEUTRAL,0.34697222868736227,NORMAL,-0.2742243931699421,0.4982097316193138,-2.154874132585093e-24,-0.3078988771208484,-0.1131540021864218,-0.2585806786192484,-0.5829235544011112,0.49269222100754345,0.49269222100754345,0.8268196525966516,0.20720782368792948,0.16152100310026443,OK
2019-08-12,10318.99,-0.3611045247828455,BEARISH,0.2735115588199938,NORMAL,-0.3611045247828455,-0.12313291127035253,-1.7238993060680746e-24,-0.37959225899273297,-0.22509538256616735,-0.22632765723993342,-0.7676532218243605,0.43050256524101815,0.43050256524101815,0.5919478431777896,0.21440901822942127,0.14210112889259294,OK
2019-08-19,10136.75,-0.36810822325224785,BEARISH,0.5012940810244594,EXTENDED,-0.36810822325224785,-0.2101570777756092,-1.3791194448544598e-24,-0.38963350897410876,-0.24923289283268357,-0.1961371705222068,-0.7884490812835128,0.41709283731517577,0.41709283731517577,0.5128438942997944,0.9070266404502362,0.16379330360007657,OK
2019-08-26,9767.53,-0.3875125072417923,BEARISH,0.21413575070099888,NORMAL,-0.3875125072417923,-0.3,-1.1032955558835678e-24,-0.4109819117815131,-0.2887002814878534,-0.16862657513075396,-0.8280376321321283,0.3951665102845259,0.3951665102845259,0.339796250090874,0.19591925076734193,0.1199124440326165,OK
2019-09-02,10400.18,-0.3383812325253036,BEARISH,0.2530491636419752,NORMAL,-0.3383812325253036,-0.05636800591408253,-8.826364447068544e-25,-0.3718886160670095,-0.24203814736525187,-0.13924787696926855,-0.7507588124806389,0.42108991813041563,0.42108991813041563,0.6677538951000956,0.13132906124523597,0.11044046217224512,OK
2019-09-09,10305.74,-0.33993762476742223,BEARISH,0.2819198711491573,NORMAL,-0.33993762476742223,-0.09769606037480072,-7.061091557654836e-25,-0.37665723773555393,-0.2584785325533797,-0.1109808213914606,-0.7613121548038527,0.4119563708036779,0.4119563708036779,0.5855033400102769,0.28210607550623806,0.09573148145597211,OK
